City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
202,Saint-Augustin,16,CA,2022-04-04 08:09:20,91,51.226,-58.6502,15.37,6.87
203,Santa Cruz,2,BO,2022-04-04 08:06:40,94,-17.8,-63.1667,69.26,4.61
204,Gladstone,5,AU,2022-04-04 08:09:20,61,-23.85,151.25,78.73,12.66
205,Esperance,91,AU,2022-04-04 08:09:21,79,-33.8667,121.9,66.04,21.43
206,Bahia Blanca,32,AR,2022-04-04 08:09:21,30,-38.7196,-62.2724,50.88,11.3
207,Lekoni,100,GA,2022-04-04 08:09:21,89,-1.5843,14.2591,72.14,5.97
208,Saldanha,7,ZA,2022-04-04 08:09:22,76,-33.0117,17.9442,65.5,8.37
209,Garden City,100,US,2022-04-04 08:08:31,90,42.3256,-83.331,37.4,4.61
210,Robore,0,BO,2022-04-04 08:09:22,93,-18.3333,-59.75,70.02,3.09
211,Maneadero,72,MX,2022-04-04 08:09:22,86,31.7167,-116.5667,59.11,5.01
212,Tuatapere,100,NZ,2022-04-04 08:09:23,90,-46.1333,167.6833,54.36,2.28
213,Dunedin,80,NZ,2022-04-04 08:09:23,83,-45.8742,170.5036,58.8,7.0
214,Srednekolymsk,98,RU,2022-04-04 08:09:23,95,67.45,153.6833,2.48,4.76
215,Narsaq,100,GL,2022-04-04 08:09:23,73,60.9167,-46.05,37.62,4.76
216,Mount Gambier,79,AU,2022-04-04 08:09:24,66,-37.8333,140.7667,59.18,5.7
217,Akdepe,1,TM,2022-04-04 08:09:24,10,42.0551,59.3788,89.17,15.17
218,Bubaque,0,GW,2022-04-04 08:09:24,58,11.2833,-15.8333,75.0,15.61
219,Makokou,95,GA,2022-04-04 08:09:25,79,0.5738,12.8642,77.81,3.62
220,Celestun,0,MX,2022-04-04 08:09:25,86,20.8667,-90.4,76.64,10.74
221,Kangaatsiaq,99,GL,2022-04-04 08:09:25,100,68.3065,-53.4641,16.34,9.15
222,Yuryevets,100,RU,2022-04-04 08:09:25,77,57.3201,43.1041,28.2,9.01
223,Severo-Kurilsk,34,RU,2022-04-04 08:08:58,79,50.6789,156.125,32.76,6.98
224,Ust-Ishim,100,RU,2022-04-04 08:09:26,100,57.6935,71.1665,40.53,7.61
225,Batouri,100,CM,2022-04-04 08:09:26,82,4.4333,14.3667,73.78,2.98
226,Konskie,96,PL,2022-04-04 08:09:27,89,51.1917,20.4061,35.24,14.58
227,Colac,89,AU,2022-04-04 08:09:27,67,-38.3333,143.5833,59.16,6.67
228,Taltal,21,CL,2022-04-04 08:10:27,74,-25.4,-70.4833,62.73,2.73
229,Dzhebariki-Khaya,27,RU,2022-04-04 08:10:27,84,62.2167,135.8,28.42,4.54
230,Turan,75,VN,2022-04-04 08:10:28,64,16.0678,108.2208,75.18,4.61
231,Stromness,100,GB,2022-04-04 08:10:28,88,58.965,-3.296,44.87,18.99
232,Flinders,0,AU,2022-04-04 08:10:28,60,-34.5833,150.8552,71.06,5.84
233,Singaraja,27,ID,2022-04-04 08:10:29,73,-8.112,115.0882,83.93,0.81
234,Dingle,97,PH,2022-04-04 08:10:29,70,10.9995,122.6711,83.98,14.52
235,Waingapu,17,ID,2022-04-04 08:10:29,69,-9.6567,120.2641,83.91,4.27
236,Lalibela,27,ET,2022-04-04 08:10:30,27,12.0333,39.0333,75.33,5.01
237,Gizo,97,SB,2022-04-04 08:10:30,76,-8.103,156.8419,83.64,10.67
238,Acapulco,0,MX,2022-04-04 08:10:30,88,16.8634,-99.8901,71.42,4.61
239,Iskateley,100,RU,2022-04-04 08:10:30,92,67.6803,53.1512,20.23,12.06
240,Angoche,0,MZ,2022-04-04 08:10:31,67,-16.2325,39.9086,83.55,0.47
241,Puerto Baquerizo Moreno,56,EC,2022-04-04 08:10:09,82,-0.9,-89.6,77.61,7.31
242,Shitanjing,0,CN,2022-04-04 08:10:31,12,39.2342,106.3439,61.5,22.68
243,Isangel,57,VU,2022-04-04 08:07:47,81,-19.55,169.2667,80.96,7.47
244,Natal,40,BR,2022-04-04 08:10:31,100,-5.795,-35.2094,74.05,3.44
